seqID	seq	qual	length
SRR4420340.1			1794
SRR4420340.2			1245
SRR4420340.3			1695
SRR4420340.4			1754
SRR4420340.5			1749
SRR4420340.6			1739
SRR4420340.7			1745
SRR4420340.8			1712
SRR4420340.9			1778
SRR4420340.10			1756
SRR4420340.11			1608
SRR4420340.12			961
SRR4420340.13			1788
SRR4420340.14			1745
SRR4420340.15			1721
SRR4420340.16			1739
SRR4420340.17			1772
SRR4420340.18			5171
SRR4420340.19			1692
SRR4420340.20			1751
SRR4420340.21			1725
SRR4420340.22			1711
SRR4420340.23			1513
SRR4420340.24			1783
SRR4420340.25			1735
SRR4420340.26			1747
SRR4420340.27			1661
SRR4420340.28			1518
SRR4420340.29			1768
SRR4420340.30			1745
SRR4420340.31			1737
SRR4420340.32			1738
SRR4420340.33			1778
SRR4420340.34			1718
SRR4420340.35			1558
SRR4420340.36			1771
SRR4420340.37			1762
SRR4420340.38			1266
SRR4420340.39			1127
SRR4420340.40			1759
SRR4420340.41			1743
SRR4420340.42			1716
SRR4420340.43			1753
SRR4420340.44			1661
SRR4420340.45			1800
SRR4420340.46			1466
SRR4420340.47			1816
SRR4420340.48			1728
SRR4420340.49			1763
SRR4420340.50			1751
SRR4420340.51			1715
SRR4420340.52			1747
SRR4420340.53			1756
SRR4420340.54			1770
SRR4420340.55			1715
SRR4420340.56			1706
SRR4420340.57			1703
SRR4420340.58			1710
SRR4420340.59			1752
SRR4420340.60			1759
SRR4420340.61			1795
SRR4420340.62			1747
SRR4420340.63			1399
SRR4420340.64			1698
SRR4420340.65			1763
SRR4420340.66			1754
SRR4420340.67			1718
SRR4420340.68			1748
SRR4420340.69			1799
SRR4420340.70			1810
SRR4420340.71			1744
SRR4420340.72			1762
SRR4420340.73			1708
SRR4420340.74			1746
SRR4420340.75			1698
SRR4420340.76			1748
SRR4420340.77			1752
SRR4420340.78			1681
SRR4420340.79			1683
SRR4420340.80			997
SRR4420340.81			1767
SRR4420340.82			1800
SRR4420340.83			1766
SRR4420340.84			1740
SRR4420340.85			1704
SRR4420340.86			1709
SRR4420340.87			1763
SRR4420340.88			1757
SRR4420340.89			1498
SRR4420340.90			922
SRR4420340.91			1726
SRR4420340.92			1697
SRR4420340.93			1690
SRR4420340.94			1748
SRR4420340.95			1724
SRR4420340.96			1691
SRR4420340.97			943
SRR4420340.98			1671
SRR4420340.99			1250
SRR4420340.100			1225
SRR4420340.101			1783
SRR4420340.102			1741
SRR4420340.103			1774
SRR4420340.104			1440
SRR4420340.105			1710
SRR4420340.106			1222
SRR4420340.107			1716
SRR4420340.108			1725
SRR4420340.109			1722
SRR4420340.110			1424
SRR4420340.111			1019
SRR4420340.112			1642
SRR4420340.113			1024
SRR4420340.114			1250
SRR4420340.115			1578
SRR4420340.116			1713
SRR4420340.117			1284
SRR4420340.118			1769
SRR4420340.119			1524
SRR4420340.120			1578
SRR4420340.121			1733
SRR4420340.122			1207
SRR4420340.123			1697
SRR4420340.124			1685
SRR4420340.125			998
SRR4420340.126			1716
SRR4420340.127			1687
SRR4420340.128			1781
SRR4420340.129			996
SRR4420340.130			1773
SRR4420340.131			1693
SRR4420340.132			1729
SRR4420340.133			1666
SRR4420340.134			1752
SRR4420340.135			1702
SRR4420340.136			1735
SRR4420340.137			1719
SRR4420340.138			1752
SRR4420340.139			1741
SRR4420340.140			1710
SRR4420340.141			1762
SRR4420340.142			1746
SRR4420340.143			1381
SRR4420340.144			1690
SRR4420340.145			1768
SRR4420340.146			1767
SRR4420340.147			1725
SRR4420340.148			1764
SRR4420340.149			1752
SRR4420340.150			1760
SRR4420340.151			1719
SRR4420340.152			1708
SRR4420340.153			1648
SRR4420340.154			1820
SRR4420340.155			1690
SRR4420340.156			1624
SRR4420340.157			1739
SRR4420340.158			1745
SRR4420340.159			1677
SRR4420340.160			1747
SRR4420340.161			1708
SRR4420340.162			1756
SRR4420340.163			1753
SRR4420340.164			1230
SRR4420340.165			1717
SRR4420340.166			1744
SRR4420340.167			1265
SRR4420340.168			1621
SRR4420340.169			1732
SRR4420340.170			1768
SRR4420340.171			1735
SRR4420340.172			1662
SRR4420340.173			1784
SRR4420340.174			1750
SRR4420340.175			1684
SRR4420340.176			1624
SRR4420340.177			1767
SRR4420340.178			1763
SRR4420340.179			1302
SRR4420340.180			1230
SRR4420340.181			1237
SRR4420340.182			1431
SRR4420340.183			1718
SRR4420340.184			1684
SRR4420340.185			1688
SRR4420340.186			1733
SRR4420340.187			1751
SRR4420340.188			1745
SRR4420340.189			1745
SRR4420340.190			1536
SRR4420340.191			1035
SRR4420340.192			1732
SRR4420340.193			1622
SRR4420340.194			1749
SRR4420340.195			1682
SRR4420340.196			1678
SRR4420340.197			3607
SRR4420340.198			1704
SRR4420340.199			1702
SRR4420340.200			1712
SRR4420340.201			1782
SRR4420340.202			1752
SRR4420340.203			1775
SRR4420340.204			1693
SRR4420340.205			1677
SRR4420340.206			1706
SRR4420340.207			1765
SRR4420340.208			980
SRR4420340.209			1546
SRR4420340.210			1677
SRR4420340.211			1729
SRR4420340.212			1741
SRR4420340.213			1816
SRR4420340.214			1754
SRR4420340.215			1639
SRR4420340.216			1761
SRR4420340.217			1681
SRR4420340.218			1680
SRR4420340.219			1751
SRR4420340.220			1768
SRR4420340.221			1797
SRR4420340.222			1818
SRR4420340.223			1707
SRR4420340.224			1734
SRR4420340.225			1308
SRR4420340.226			1576
SRR4420340.227			1147
SRR4420340.228			1345
SRR4420340.229			1637
SRR4420340.230			1794
SRR4420340.231			1740
SRR4420340.232			1762
SRR4420340.233			1672
SRR4420340.234			1730
SRR4420340.235			1715
SRR4420340.236			1558
SRR4420340.237			1772
SRR4420340.238			1741
SRR4420340.239			1795
SRR4420340.240			1727
SRR4420340.241			1743
SRR4420340.242			1330
SRR4420340.243			1675
SRR4420340.244			1770
SRR4420340.245			1755
SRR4420340.246			1769
SRR4420340.247			1758
SRR4420340.248			1762
SRR4420340.249			1157
SRR4420340.250			1775
SRR4420340.251			1754
SRR4420340.252			1668
SRR4420340.253			1709
SRR4420340.254			1643
SRR4420340.255			1713
SRR4420340.256			1745
SRR4420340.257			1328
SRR4420340.258			1723
SRR4420340.259			1776
SRR4420340.260			1621
SRR4420340.261			1759
SRR4420340.262			1741
SRR4420340.263			1146
SRR4420340.264			918
SRR4420340.265			1526
SRR4420340.266			1707
SRR4420340.267			1710
SRR4420340.268			1717
SRR4420340.269			1765
SRR4420340.270			1763
SRR4420340.271			1769
SRR4420340.272			1697
SRR4420340.273			1671
SRR4420340.274			1747
SRR4420340.275			1746
SRR4420340.276			1765
SRR4420340.277			1743
SRR4420340.278			1725
SRR4420340.279			1768
SRR4420340.280			1136
SRR4420340.281			1019
SRR4420340.282			1162
SRR4420340.283			1770
SRR4420340.284			1802
SRR4420340.285			1723
SRR4420340.286			1715
SRR4420340.287			1704
SRR4420340.288			1729
SRR4420340.289			1202
SRR4420340.290			1800
SRR4420340.291			1674
SRR4420340.292			1809
SRR4420340.293			1714
SRR4420340.294			1719
SRR4420340.295			1746
SRR4420340.296			1805
SRR4420340.297			1717
SRR4420340.298			1647
SRR4420340.299			1453
SRR4420340.300			1803
SRR4420340.301			1663
SRR4420340.302			1709
SRR4420340.303			1630
SRR4420340.304			1689
SRR4420340.305			1354
SRR4420340.306			1561
SRR4420340.307			1185
SRR4420340.308			1488
SRR4420340.309			1543
SRR4420340.310			1509
SRR4420340.311			911
SRR4420340.312			1015
SRR4420340.313			1770
SRR4420340.314			1757
SRR4420340.315			1739
SRR4420340.316			1689
SRR4420340.317			1745
SRR4420340.318			1724
SRR4420340.319			1063
SRR4420340.320			1666
SRR4420340.321			1760
SRR4420340.322			1249
SRR4420340.323			1728
SRR4420340.324			1703
SRR4420340.325			1679
SRR4420340.326			1712
SRR4420340.327			1732
SRR4420340.328			1711
SRR4420340.329			1754
SRR4420340.330			1735
SRR4420340.331			1718
SRR4420340.332			1738
SRR4420340.333			1513
SRR4420340.334			1739
SRR4420340.335			1659
SRR4420340.336			1745
SRR4420340.337			1711
SRR4420340.338			1720
SRR4420340.339			1588
SRR4420340.340			1783
SRR4420340.341			1684
SRR4420340.342			1725
SRR4420340.343			1701
SRR4420340.344			1754
SRR4420340.345			871
SRR4420340.346			1733
SRR4420340.347			1726
SRR4420340.348			1726
SRR4420340.349			1691
SRR4420340.350			1730
SRR4420340.351			1760
SRR4420340.352			1793
SRR4420340.353			1715
SRR4420340.354			1740
SRR4420340.355			1761
SRR4420340.356			1699
SRR4420340.357			1685
SRR4420340.358			1733
SRR4420340.359			1714
SRR4420340.360			1789
SRR4420340.361			1227
SRR4420340.362			1703
SRR4420340.363			1772
SRR4420340.364			1768
SRR4420340.365			1701
SRR4420340.366			1733
SRR4420340.367			1691
SRR4420340.368			1254
SRR4420340.369			1123
SRR4420340.370			1684
SRR4420340.371			1682
SRR4420340.372			1741
SRR4420340.373			1615
SRR4420340.374			1712
SRR4420340.375			1746
SRR4420340.376			1555
SRR4420340.377			1695
SRR4420340.378			1534
SRR4420340.379			1711
SRR4420340.380			499
SRR4420340.381			1773
SRR4420340.382			1520
SRR4420340.383			1745
SRR4420340.384			1725
SRR4420340.385			1772
SRR4420340.386			1764
SRR4420340.387			1734
SRR4420340.388			1804
SRR4420340.389			1679
SRR4420340.390			1712
SRR4420340.391			1616
SRR4420340.392			1788
SRR4420340.393			1690
SRR4420340.394			1695
SRR4420340.395			1600
SRR4420340.396			1662
SRR4420340.397			1530
SRR4420340.398			1754
SRR4420340.399			1670
SRR4420340.400			1803
SRR4420340.401			1752
SRR4420340.402			1769
SRR4420340.403			1779
SRR4420340.404			1609
SRR4420340.405			1786
SRR4420340.406			1641
SRR4420340.407			1710
SRR4420340.408			1753
SRR4420340.409			1705
SRR4420340.410			610
SRR4420340.411			823
SRR4420340.412			1704
SRR4420340.413			838
SRR4420340.414			872
SRR4420340.415			1753
SRR4420340.416			1009
SRR4420340.417			838
SRR4420340.418			815
SRR4420340.419			859
SRR4420340.420			1164
SRR4420340.421			759
SRR4420340.422			686
SRR4420340.423			726
SRR4420340.424			689
SRR4420340.425			699
SRR4420340.426			698
SRR4420340.427			672
SRR4420340.428			1397
SRR4420340.429			653
SRR4420340.430			648
SRR4420340.431			619
SRR4420340.432			616
SRR4420340.433			642
SRR4420340.434			626
SRR4420340.435			591
SRR4420340.436			612
SRR4420340.437			597
SRR4420340.438			623
SRR4420340.439			608
SRR4420340.440			598
SRR4420340.441			615
SRR4420340.442			552
SRR4420340.443			545
SRR4420340.444			522
SRR4420340.445			486
SRR4420340.446			460
SRR4420340.447			466
SRR4420340.448			474
SRR4420340.449			450
SRR4420340.450			337
SRR4420340.451			480
SRR4420340.452			493
SRR4420340.453			422
SRR4420340.454			476
SRR4420340.455			492
SRR4420340.456			455
SRR4420340.457			478
SRR4420340.458			471
SRR4420340.459			490
SRR4420340.460			499
SRR4420340.461			1262
SRR4420340.462			470
SRR4420340.463			483
SRR4420340.464			485
SRR4420340.465			475
SRR4420340.466			505
SRR4420340.467			462
SRR4420340.468			506
SRR4420340.469			485
SRR4420340.470			461
SRR4420340.471			463
SRR4420340.472			494
SRR4420340.473			483
SRR4420340.474			506
SRR4420340.475			481
SRR4420340.476			506
SRR4420340.477			442
SRR4420340.478			499
SRR4420340.479			474
SRR4420340.480			457
SRR4420340.481			487
SRR4420340.482			477
SRR4420340.483			458
SRR4420340.484			453
SRR4420340.485			488
SRR4420340.486			522
SRR4420340.487			473
SRR4420340.488			476
SRR4420340.489			451
SRR4420340.490			470
SRR4420340.491			491
SRR4420340.492			478
SRR4420340.493			495
SRR4420340.494			501
SRR4420340.495			503
SRR4420340.496			448
SRR4420340.497			472
SRR4420340.498			483
SRR4420340.499			469
SRR4420340.500			469
SRR4420340.501			500
SRR4420340.502			496
SRR4420340.503			508
SRR4420340.504			469
SRR4420340.505			475
SRR4420340.506			469
SRR4420340.507			483
SRR4420340.508			455
SRR4420340.509			495
SRR4420340.510			471
SRR4420340.511			478
SRR4420340.512			476
SRR4420340.513			496
SRR4420340.514			506
SRR4420340.515			500
SRR4420340.516			456
SRR4420340.517			494
SRR4420340.518			469
SRR4420340.519			486
SRR4420340.520			489
SRR4420340.521			460
SRR4420340.522			453
SRR4420340.523			474
SRR4420340.524			470
SRR4420340.525			508
SRR4420340.526			487
SRR4420340.527			477
SRR4420340.528			494
SRR4420340.529			470
SRR4420340.530			482
SRR4420340.531			484
SRR4420340.532			486
SRR4420340.533			491
SRR4420340.534			461
SRR4420340.535			496
SRR4420340.536			481
SRR4420340.537			496
SRR4420340.538			471
